name,en,ua,zh,
,English,Ukrainian,Chinese,
buy_bonus,buy bonus,КУПИТИ ФРІ СПІНИ,购买免费旋转,
multiplier,MULTIPLIER,МУЛЬТИПЛІКАТОР,乘数,
free_spins,FREE SPINS,БЕЗКОШТОВНІ ОБЕРТАННЯ,免费旋转,
choice_starting_multiplier,starting MULTIPLIER,ПОЧАТКОВИЙ МУЛЬТИПЛІКАТОР,初始乘数,
choice_mutiplier_text,increasing win MULTIPLIER,ЗБІЛЬШЕННЯ МНОЖНИКА ВИГРАШУ,增加获胜倍数,
fs_congratulations,congratulations!,ВІТАЄМО!,恭喜！,
fs_you_won,you have won,ВИ ВИГРАЛИ,你赢了,
fs_in,in,В,在,
are_you_sure,are you sure you want to purchase bonus at the cost of,"ВИ ВПЕВНЕНІ, ЩО БАЖАЄТЕ КУПИТИ БОНУС ЗА ЦІНОЮ ",您确定要以该价格购买奖金,
double_chance,double chance to win feature,ПОДВІЙНИЙ ШАНС ВИГРАТИ ФУНКЦІЮ,赢取专题节目的双重机会,
on,on,УВІМ,启用,
off,off,ВИМК,关掉,
balance,Balance,Баланс,平衡,
win,Win,Виграш,您的奖金,
bet,Bet,Ставка,贝特,
fs_left,FREE SPINS left,ЗАЛИШИЛОСЯ ФРІ СПІНІВ,剩余免费旋转次数,
paytable,PAYTABLE,ТАБЛИЦЯ ВИПЛАТ,赔付表,
fs_rules,FREE SPIN rules,ПРАВИЛА БЕЗКОШТОВНИХ ОБЕРТАНЬ,免费旋转规则,
game_features,game features,ОСОБЛИВОСТІ ГРИ,游戏特色,
gamble_lose,You Lose,Ви програли!,,
max_win,you got the maximum win,ви отримали максимальний виграш,,
gamble_congrats,congratulation! You win,Вітаю! Ви виграли,,
choose_red_or_black,Choose Red or Black to Gamble or take a Win,"Виберіть червоне або чорне, щоб зробити ставку або отримати виграш",,
red,red,ЧЕРВОНИЙ,,
black,black,ЧОРНИЙ,,
collect,collect,Забрати,,
gamble,gamble,Азартна гра,,
general_rules,general rules,ЗАГАЛЬНІ ПРАВИЛА,一般规则,
settings,settings,НАЛАШТУВАННЯ,游戏设置,
autoplay,autoplay options,НАЛАШТУВАННЯ АВТОГРИ,自动播放设置,
music_volume,music volume,ГУЧНІСТЬ МУЗИКИ,音乐量,
sound_volume,sound fx volume,ГУЧНІСТЬ ЕФЕКТІВ,效果音量,
mute,mute,ВИМКНУТИ,关掉,
autoplay_stop,stop autoplay,ЗУПИНИТИ АВТОГРУ,停止自动播放,
any_win,on any win,У РАЗІ БУДЬ-ЯКОГО ВИГРАШУ,万一获胜,
fs_won,if FREE SPINS ARE WON,ЯКЩО ВИГРАЮТЬСЯ БЕЗКОШТОВНІ ОБЕРТАННЯ,如果免费旋转获胜,
if_win_exceed,if single win exceeds,ЯКЩО ОДНОРАЗОВИЙ ВИГРАШ ПЕРЕВИЩУЄ,如果单赢超过,
if_balance_increase,if balance increases by,ЯКЩО БАЛАНС ЗБІЛЬШУЄТЬСЯ НА,如果余额增加,
if_balance_decrease,if balance decreases by,ЯКЩО БАЛАНС ЗМЕНШУЄТЬСЯ НА,如果余额减少,
continue,,,,
press_anywhere,press anywhere to continue,"НАТИСНІТЬ БУДЬ-ДЕ, ЩОБ ПРОДОВЖИТИ",单击任意位置继续,
bonus_popup_yes,yes,ТАК,是的,
bonus_popup_no,no,НІ,不,
random_phrase_1,Maximum number of possible ways to win is 200704,Максимальна кількість можливих способів перемогти - 200704,最大可能获胜方式数为200704,
random_phrase_2,Unlimited win multiplier,Необмежений множник виграшу,无限胜利加倍器,
random_phrase_3,Win up to 23 Free Spins,Вигравайте до 23 безкоштовних обертів,最多可获得23次免费旋转,
